numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,Quantité,Unité de poids/quantité,Prix unitaire en  Lt (décimale),Valeur en décimales de livres tournois,Différence,Remarques,Droits totaux indiqués,Droits unitaires,remarks pour les droits
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
,,,,,,,,,,,,,"0,0000000","0,00","0,00",,,,
